,PROC_NUM,PARCEL_NO,ADDRESS,DATE,CONST_COST,ADMIN_COST,CAT_CODE,UNITS_VAL,PED_ORIENTED,LAND USE,UNITS
3539,M2019007652-0,420160075190,3333 W 105 PL,2/20/2019,45442.33,908.85,230-00,8,0,"Condominium,Townhouse",unit
1325,M2020003091-0,420160075200,10502 W 32 LN,12/4/2019,40355.25,807.1,220-00,6,0,Apartment (Rentals),unit
3533,M2020003101-0,420160075260,10523 W 33 CT,11/26/2019,35183.95,703.68,230-00,6,0,"Condominium,Townhouse",unit
89,M2019020556-0,420170010330,4040 W 108 ST,9/19/2019,1615230.53,32304.61,150-00,332084,0,Warehousing,sq. ft.
90,M2019019862-0,420170010480,4210 W 108 ST,9/11/2019,3483428.75,69668.58,150-00,716177,0,Warehousing,sq. ft.
88,M2019005277-0,420170020010,3870 W 108 ST ,1/18/2019,1173109.78,23462.2,150-00,241186,0,Warehousing,sq. ft.
85,M2019012453-0,420170020012,3990 W 108 ST,5/14/2019,903381.02,18067.62,150-00,185731,0,Warehousing,sq. ft.
86,M2019009884-0,420170020040,3980 W 104 ST BLDG #7,4/12/2019,1042936.66,20858.73,150-00,214423,0,Warehousing,sq. ft.
87,M2019009886-0,420170020040,3880 WEST 104 ST,4/11/2019,958678.94,19173.58,150-00,197100,0,Warehousing,sq. ft.
92,M2020002010-0,420200010030,4220 W 91 PLACE - BLDG. E,11/14/2019,733211.53,14664.23,150-00,146021,0,Warehousing,sq. ft.
641,M2020003005-0,420200010043,14450 NW 102 AVE,12/3/2019,69280.1,1385.61,710-00,6545,0,General Office Building,sq. ft.
642,M2020003005-0,420200010043,14450 NW 102 AVE,12/3/2019,69280.1,1385.61,710-00,6545,0,"General Office Building [1-50,000]",sq. ft.
91,M2020003005-0,420200010043,14450 NW 102 AVE,12/3/2019,69280.1,1385.61,150-00,-6545,0,Warehousing,sq. ft.
3480,M2019016384-0,420250110013,490 W 84 ST,7/16/2019,4485.69,89.71,630-00,298,0,Clinic,sq. ft.
753,M2019016384-0,420250110013,490 W 84 ST,7/16/2019,4485.69,89.71,710-00,-298,0,General Office Building,sq. ft.
754,M2019016384-0,420250110013,490 W 84 ST,7/16/2019,4485.69,89.71,710-00,-298,0,"General Office Building [1-50,000]",sq. ft.
751,M2020004613-0,420270140050,2700 W 84 ST,12/27/2019,43155.84,863.12,710-00,4077,0,General Office Building,sq. ft.
752,M2020004613-0,420270140050,2700 W 84 ST,12/27/2019,43155.84,863.12,710-00,4077,0,"General Office Building [1-50,000]",sq. ft.
122,M2020004613-0,420270140050,2700 W 84 ST,12/27/2019,43155.84,863.12,150-00,-4077,0,Warehousing,sq. ft.
1127,M2019018664-0,420360130100,1099 W 60 ST,8/16/2019,1969.71,39.39,231-00,2,0,Duplex,unit
3367,M2019018664-0,420360130100,1099 W 60 ST,8/16/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1432,M2019014963-0,421300000041,7755 W 4 AVE,6/18/2019,168883.69,3377.67,853-00,3033,0,Convenience market with Gasoline,sq. ft.
1388,M2019010705-0,421300000041,"7755 W 4 AVE, BLDG. B-2",4/19/2019,136560.04,2731.2,220-00,24,0,Apartment (Rentals),unit
1390,M2019010699-0,421300000041,"7755 W 4 AVE, BLDG. B-7",4/11/2019,147829.83,2956.6,220-00,24,0,Apartment (Rentals),unit
1396,M2019010694-0,421300000041,"7755 W 4 AVE, BLDG. B-5",4/11/2019,147829.83,2956.6,220-00,24,0,Apartment (Rentals),unit
1397,M2019010689-0,421300000041,"7755 W 4 AVE, BLDG. B-9",4/10/2019,147829.83,2956.6,220-00,24,0,Apartment (Rentals),unit
1392,M2019010702-0,421300000041,"7755 W 4 AVE, BLDG  B-3",4/12/2019,110872.37,2217.45,220-00,18,0,Apartment (Rentals),unit
1393,M2019010706-0,421300000041,"7755 W 4 AVE, BLDG. B-10",4/12/2019,110872.37,2217.45,220-00,18,0,Apartment (Rentals),unit
1395,M2019010707-0,421300000041,"7755 W 4 AVE, BLDG. B-1",4/19/2019,519.43,10.39,220-00,18,0,Apartment (Rentals),unit
1398,M2019010688-0,421300000041,"7755 W 4 AVE, BLDG. B-8",4/22/2019,110872.37,2217.45,220-00,18,0,Apartment (Rentals),unit
1391,M2019010687-0,421300000041,"7755 W 4 AVE, BLDG. B-6",4/23/2019,92393.65,1847.87,220-00,15,0,Apartment (Rentals),unit
1394,M2019010685-0,421300000041,"7755 W 4 AVE, BLDG. B-4",4/11/2019,92393.65,1847.87,220-00,15,0,Apartment (Rentals),unit
1389,M2019010691-0,421300000041,"7755 W 4 AVE, BLDG. B-11",4/22/2019,86234.07,1724.68,220-00,14,0,Apartment (Rentals),unit
124,M2019010705-0,421300000041,"7755 W 4 AVE, BLDG. B-2",4/19/2019,136560.04,2731.2,150-00,-2451,0,Warehousing,sq. ft.
125,M2019010707-0,421300000041,"7755 W 4 AVE, BLDG. B-1",4/19/2019,519.43,10.39,150-00,-24000,0,Warehousing,sq. ft.
452,M2019021064-0,430010132910,1140 W 50 ST,10/10/2019,4015.48,80.31,820-00,1345,0,Shopping Center/General Retail,sq. ft.
453,M2019021064-0,430010132910,1140 W 50 ST,10/10/2019,4015.48,80.31,820-00,1345,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
755,M2019021064-0,430010132910,1140 W 50 ST,10/10/2019,4015.48,80.31,710-00,-1345,0,General Office Building,sq. ft.
756,M2019021064-0,430010132910,1140 W 50 ST,10/10/2019,4015.48,80.31,710-00,-1345,0,"General Office Building [1-50,000]",sq. ft.
3492,M2019016225-0,430010510050,775 W 49 ST,7/19/2019,5462.16,109.24,820-02,444,0,"Shopping Center/General Retail [50,001 -100,000]",sq. ft.
805,M2019011102-0,430021990010,4125 W 20 AVE,8/14/2019,14910.46,298.21,720-00,948,0,Medical Office Building,sq. ft.
454,M2019011102-0,430021990010,4125 W 20 AVE,8/14/2019,14910.46,298.21,820-00,-948,0,Shopping Center/General Retail,sq. ft.
455,M2019011102-0,430021990010,4125 W 20 AVE,8/14/2019,14910.46,298.21,820-00,-948,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3467,M2019010048-0,430110020160,2901 W 16 AVE,6/28/2019,116254.92,2325.1,492-00,20201,0,Health/Fitness,sq. ft.
871,M2019010048-0,430110020160,2901 W 16 AVE,6/28/2019,116254.92,2325.1,820-01,10476,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
3908,M2019010048-0,430110020160,2901 W 16 AVE,6/28/2019,116254.92,2325.1,240-00,-21,0,Mobile Home,unit
456,M2019010303-0,430110020201,2901 W 16 AVE,6/28/2019,102894.14,2057.87,820-00,2500,0,Shopping Center/General Retail,sq. ft.
457,M2019010303-0,430110020201,2901 W 16 AVE,6/28/2019,102894.14,2057.87,820-00,2500,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3457,M2019010303-0,430110020201,2901 W 16 AVE,6/28/2019,102894.14,2057.87,934-00,1867,0,Fast Food Rest. w/ Drive-Thru,sq. ft.
3907,M2019010303-0,430110020201,2901 W 16 AVE,6/28/2019,102894.14,2057.87,240-00,-6,0,Mobile Home,unit
1399,M2020001847-0,430110020940,1235 W 26 PL,11/18/2019,44511.43,890.23,220-00,11,0,Apartment (Rentals),unit
1400,M2020001847-0,430110020940,1235 W 26 PL,11/18/2019,44511.43,890.23,220-00,-4,0,Apartment (Rentals),unit
1272,M2019012655-0,430110510010,3001 W 16 AVE (BLDG #3),5/17/2019,350325.91,7006.52,222-00,91,0,High-Rise Apart or Condo over 3 floors,unit
1403,M2019005339-0,430120040030,620 W 29 ST,1/10/2019,13896.14,277.93,220-00,4,0,Apartment (Rentals),unit
1128,M2019005339-0,430120040030,620 W 29 ST,1/10/2019,13896.14,277.93,231-00,-2,0,Duplex,unit
1402,M2019013835-0,430120100810,545 W 24 ST,6/11/2019,15865.85,317.32,220-00,4,0,Apartment (Rentals),unit
3368,M2019013835-0,430120100810,545 W 24 ST,6/11/2019,15865.85,317.32,210-00,-1,0,Single Family Detached,unit
1273,M2019017173-0,430120101270,2345 W 5 AVE,12/3/2019,0,461.97,222-00,6,0,High-Rise Apart or Condo over 3 floors,unit
1401,M2020002884-0,430120310040,1130 W 26 ST,12/3/2019,12717.55,254.35,220-00,6,0,Apartment (Rentals),unit
1405,M2020002884-0,430120310040,1130 W 26 ST,12/3/2019,12717.55,254.35,220-00,-4,0,Apartment (Rentals),unit
1407,M2020002882-0,430120310050,1140 W 26 ST,12/3/2019,12717.55,254.35,220-00,2,0,Apartment (Rentals),unit
1408,M2020002880-0,430120310080,1170 W 26 ST,11/22/2019,12717.55,254.35,220-00,2,0,Apartment (Rentals),unit
1409,M2020002881-0,430120310090,2595 W 12 AVE,11/27/2019,12717.55,254.35,220-00,2,0,Apartment (Rentals),unit
1406,M2020002886-0,430120310120,2505 W 12 AVE,11/22/2019,12717.55,254.35,220-00,6,0,Apartment (Rentals),unit
1404,M2020002886-0,430120310120,2505 W 12 AVE,11/22/2019,12717.55,254.35,220-00,-4,0,Apartment (Rentals),unit
458,M2019007940-0,430130340140,630 W 18 ST BLDG #2,3/5/2019,277873.27,5557.47,820-00,1224,0,Shopping Center/General Retail,sq. ft.
459,M2019007940-0,430130340140,630 W 18 ST BLDG #2,3/5/2019,277873.27,5557.47,820-00,1224,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
460,M2019013582-0,430130340140,640 W 18 ST BLDG # 1,6/7/2019,27310.9,546.22,820-00,1224,0,Shopping Center/General Retail,sq. ft.
461,M2019013582-0,430130340140,640 W 18 ST BLDG # 1,6/7/2019,27310.9,546.22,820-00,1224,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1411,M2019007940-0,430130340140,630 W 18 ST BLDG #2,3/5/2019,277873.27,5557.47,220-00,46,0,Apartment (Rentals),unit
1410,M2019007943-0,430130340140,640 W 18 ST,3/5/2019,250562.37,5011.25,220-00,45,0,Apartment (Rentals),unit
1412,M2019013582-0,430130340140,640 W 18 ST BLDG # 1,6/7/2019,27310.9,546.22,220-00,1,0,Apartment (Rentals),unit
499,M2019007943-0,430130340140,640 W 18 ST,3/5/2019,250562.37,5011.25,140-00,-7515,0,Manufacturing,sq. ft.
500,M2019007940-0,430130340140,630 W 18 ST BLDG #2,3/5/2019,277873.27,5557.47,140-00,-7515,0,Manufacturing,sq. ft.
127,M2019018439-0,431050061550,402 E 41 ST,11/7/2019,6653.36,133.07,150-00,1447,0,Warehousing,sq. ft.
806,M2020002700-0,431060620150,4890 W 2 LN,12/2/2019,4267.67,85.36,720-00,391,0,Medical Office Building,sq. ft.
3369,M2020002700-0,431060620150,4890 W 2 LN,12/2/2019,4267.67,85.36,210-00,-1,0,Single Family Detached,unit
3451,M2019000644-0,431070030020,91 W 21 ST,1/24/2019,20379.92,407.6,565-00,4663,0,Day Care Center,sq. ft.
757,M2019000644-0,431070030020,91 W 21 ST,1/24/2019,20379.92,407.6,710-00,727,0,General Office Building,sq. ft.
758,M2019000644-0,431070030020,91 W 21 ST,1/24/2019,20379.92,407.6,710-00,727,0,"General Office Building [1-50,000]",sq. ft.
126,M2019000644-0,431070030020,91 W 21 ST,1/24/2019,20379.92,407.6,150-00,-5390,0,Warehousing,sq. ft.
1129,M2019019582-0,431080015990,723 E 30 ST,8/23/2019,1969.71,39.39,231-00,2,0,Duplex,unit
3374,M2019019582-0,431080015990,723 E 30 ST,8/23/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1132,M2020003224-0,431080016850,3270 E 6 AVE,11/26/2019,2033.4,40.67,231-00,2,0,Duplex,unit
3376,M2020003224-0,431080016850,3270 E 6 AVE,11/26/2019,2033.4,40.67,210-00,-1,0,Single Family Detached,unit
1130,M2019005998-0,431080019410,801 E 28 ST,2/14/2019,1969.71,39.39,231-00,2,0,Duplex,unit
3375,M2019005998-0,431080019410,801 E 28 ST,2/14/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1414,M2019015841-0,431080022200,859 E 24 ST,7/2/2019,65142.47,1302.85,220-00,12,0,Apartment (Rentals),unit
3379,M2019015841-0,431080022200,859 E 24 ST,7/2/2019,65142.47,1302.85,210-00,-1,0,Single Family Detached,unit
1413,M2019015837-0,431080022210,853 E 24 ST,7/2/2019,102099.92,2042,220-00,18,0,Apartment (Rentals),unit
3378,M2019015837-0,431080022210,853 E 24 ST,7/2/2019,102099.92,2042,210-00,-1,0,Single Family Detached,unit
462,M2019008743-0,431080023110,814 E 24 ST,3/12/2019,117081.36,2341.63,820-00,7283,0,Shopping Center/General Retail,sq. ft.
463,M2019008743-0,431080023110,814 E 24 ST,3/12/2019,117081.36,2341.63,820-00,7283,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3380,M2019008743-0,431080023110,814 E 24 ST,3/12/2019,117081.36,2341.63,210-00,-1,0,Single Family Detached,unit
3370,M2019015519-0,431080024810,897 E 20 ST,6/21/2019,0,0,210-00,1,0,Single Family Detached,unit
3371,M2019015519-0,431080024810,897 E 20 ST,6/21/2019,0,0,210-00,-1,0,Single Family Detached,unit
3373,M2019018016-0,431080024815,891 E 20 ST,8/2/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
1134,M2019010693-0,431080070470,464 E 21 ST,4/17/2019,5371.07,107.42,231-00,3,0,Duplex,unit
1133,M2019010693-0,431080070470,464 E 21 ST,4/17/2019,5371.07,107.42,231-00,-2,0,Duplex,unit
1415,M2019009903-0,431080071910,2070 E 6 AVE,4/5/2019,46663.74,933.27,220-00,9,0,Apartment (Rentals),unit
3377,M2019009903-0,431080071910,2070 E 6 AVE,4/5/2019,46663.74,933.27,210-00,-1,0,Single Family Detached,unit
1131,M2019015301-0,431080310010,2689 E 7 AVE,6/19/2019,10742.16,214.84,231-00,2,0,Duplex,unit
3372,M2019015299-0,431080310030, 2629 E 7 AVE,6/21/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
1416,M2019003360-0,431170090031,701 E 4 AVE,1/28/2019,184269.51,3685.39,220-00,35,0,Apartment (Rentals),unit
3381,M2019003360-0,431170090031,701 E 4 AVE,1/28/2019,184269.51,3685.39,210-00,-1,0,Single Family Detached,unit
759,M2019003360-0,431170090031,701 E 4 AVE,1/28/2019,184269.51,3685.39,710-00,-1577,0,General Office Building,sq. ft.
760,M2019003360-0,431170090031,701 E 4 AVE,1/28/2019,184269.51,3685.39,710-00,-1577,0,"General Office Building [1-50,000]",sq. ft.
872,M2018019337-0,431170141490,435 HIALEAH DR,2/15/2019,178403.53,3568.07,820-01,3523,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
1274,M2018019337-0,431170141490,435 HIALEAH DR,2/15/2019,178403.53,3568.07,222-00,304,0,High-Rise Apart or Condo over 3 floors,unit
3493,M2018019337-0,431170141490,435 HIALEAH DR,2/15/2019,178403.53,3568.07,820-02,-76635,0,"Shopping Center/General Retail [50,001 -100,000]",sq. ft.
807,B2001043629-0,431180011020,55 W 3 ST,12/6/2019,479.7,9.6,720-00,699,0,Medical Office Building,sq. ft.
464,B2001043629-0,431180011020,55 W 3 ST,12/6/2019,479.7,9.6,820-00,-699,0,Shopping Center/General Retail,sq. ft.
465,B2001043629-0,431180011020,55 W 3 ST,12/6/2019,479.7,9.6,820-00,-699,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1135,M2019012776-0,431180033660,225 E 15 ST,5/16/2019,1969.71,39.39,231-00,2,0,Duplex,unit
3382,M2019012776-0,431180033660,225 E 15 ST,5/16/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
1417,M2019007380-0,431180061180,310 E 7 ST,5/31/2019,27792.31,555.84,220-00,8,0,Apartment (Rentals),unit
3740,M2019007380-0,431180061180,310 E 7 ST,5/31/2019,27792.31,555.84,230-00,-4,0,"Condominium,Townhouse",unit
1540,M2019012270-0,531190101160,249 PALMETTO DR,5/6/2019,0,0,210-00,0,0,Single Family Detached,unit
1541,M2020000539-0,531190132311,350 REINETTE DR,10/16/2019,0,0,210-00,0,0,Single Family Detached,unit
1203,M2019012304-0,621250180570,12001 NW 7 AVE,5/17/2019,22764.23,455.29,932-00,749,0,High Turnover Rest.,sq. ft.
344,M2019012304-0,621250180570,12001 NW 7 AVE,5/17/2019,22764.23,455.29,820-00,-749,0,Shopping Center/General Retail,sq. ft.
345,M2019012304-0,621250180570,12001 NW 7 AVE,5/17/2019,22764.23,455.29,820-00,-749,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
346,M2019001661-0,622190151570,14100 W DIXIE HWY,8/12/2019,4959.5,99.19,820-00,287,0,Shopping Center/General Retail,sq. ft.
347,M2019001661-0,622190151570,14100 W DIXIE HWY,8/12/2019,4959.5,99.19,820-00,287,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
348,BD200900192-0,622210070020,15180 BISCAYNE BLVD,8/23/2019,14750.97,295.02,820-00,-2245,0,Shopping Center/General Retail,sq. ft.
349,BD200900192-0,622210070020,15180 BISCAYNE BLVD,8/23/2019,14750.97,295.02,820-00,-2245,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1256,M2016012434-1,622210340010,2301 & 2321 LAGUNA CIRCLE,5/10/2019,0,0,222-00,0,0,High-Rise Apart or Condo over 3 floors,unit
2172,M2019011268-0,622280080520,2120 HIBISCUS CIR,4/17/2019,0,0,210-00,0,0,Single Family Detached,unit
2180,M2020001846-0,622280090040,1853 NE 124 ST,11/5/2019,0,0,210-00,1,0,Single Family Detached,unit
2181,M2020001846-0,622280090040,1853 NE 124 ST,11/5/2019,0,0,210-00,-1,0,Single Family Detached,unit
2177,M2019013806-0,622280113190,1902 NE 119 RD,5/28/2019,0,0,210-00,1,0,Single Family Detached,unit
2176,M2019013806-0,622280113190,1902 NE 119 RD,5/28/2019,0,0,210-00,-1,0,Single Family Detached,unit
2178,M2020003350-0,622280114230,2035 NE 121 RD,11/27/2019,0,0,210-00,0,0,Single Family Detached,unit
2175,M2019008102-0,622280130010,2213 KEYSTONE BLVD,2/27/2019,0,0,210-00,1,0,Single Family Detached,unit
2179,M2019008102-0,622280130010,2213 KEYSTONE BLVD,2/27/2019,0,0,210-00,-1,0,Single Family Detached,unit
2174,M2019017414-0,622280140380,13045 CORONADO LN,7/23/2019,0,0,210-00,0,0,Single Family Detached,unit
2170,M2019020805-0,622280170300,12685 HICKORY RD,9/18/2019,0,0,210-00,0,0,Single Family Detached,unit
2173,M2019016238-0,622280180250,13145 CORONADO DR,7/5/2019,0,0,210-00,0,0,Single Family Detached,unit
2171,M2019013453-0,622280211060,13190 BISCAYNE BAY TER,5/22/2019,0,0,210-00,0,0,Single Family Detached,unit
781,M2019008412-0,622280630030,12955 BISCAYNE BLVD - 202,11/6/2019,5389.58,107.79,720-00,288,0,Medical Office Building,sq. ft.
651,M2019008412-0,622280630030,12955 BISCAYNE BLVD - 202,11/6/2019,5389.58,107.79,710-00,-288,0,General Office Building,sq. ft.
652,M2019008412-0,622280630030,12955 BISCAYNE BLVD - 202,11/6/2019,5389.58,107.79,710-00,-288,0,"General Office Building [1-50,000]",sq. ft.
857,M2019015920-0,622290080554,13130 BISCAYNE BLVD,9/11/2019,54634.24,1092.68,820-01,4231,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
1204,M2019003968-0,622290080600,1617 NE 123 ST BAYS 1611-1613,9/9/2019,22125.99,442.52,932-00,728,0,High Turnover Rest.,sq. ft.
350,M2019003968-0,622290080600,1617 NE 123 ST BAYS 1611-1613,9/9/2019,22125.99,442.52,820-00,-728,0,Shopping Center/General Retail,sq. ft.
351,M2019003968-0,622290080600,1617 NE 123 ST BAYS 1611-1613,9/9/2019,22125.99,442.52,820-00,-728,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1036,M2020004033-0,622290170070,1160 NE 131 ST,12/10/2019,0,0,231-00,0,0,Duplex,unit
2184,M2020002718-0,622300050420,901 NE 127 ST,11/20/2019,0,0,210-00,1,0,Single Family Detached,unit
2183,M2020002718-0,622300050420,901 NE 127 ST,11/20/2019,0,0,210-00,-1,0,Single Family Detached,unit
2182,M2019013435-0,622300050440,921 NE 127 ST,5/17/2019,0,0,210-00,0,0,Single Family Detached,unit
782,M2019014037-0,622300070600,12535 W DIXIE HWY,6/14/2019,21956.74,439.14,720-00,1396,0,Medical Office Building,sq. ft.
352,M2019014037-0,622300070600,12535 W DIXIE HWY,6/14/2019,21956.74,439.14,820-00,-1396,0,Shopping Center/General Retail,sq. ft.
353,M2019014037-0,622300070600,12535 W DIXIE HWY,6/14/2019,21956.74,439.14,820-00,-1396,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
3810,M2019014519-0,622300320350,12300 NE 6 CT,6/26/2019,0,0,560-00,0,0,Church/Synagogue,sq. ft.
1037,M2019002864-0,722070071901,17200 NE 3 CT,4/8/2019,1969.71,39.39,231-00,2,0,Duplex,unit
2185,M2019002864-0,722070071901,17200 NE 3 CT,4/8/2019,1969.71,39.39,210-00,-1,0,Single Family Detached,unit
2186,M2019007439-0,722080180210,1160 NE 176 ST,2/12/2019,0,0,210-00,1,0,Single Family Detached,unit
2187,M2019007439-0,722080180210,1160 NE 176 ST,2/12/2019,0,0,210-00,-1,0,Single Family Detached,unit
783,M2019008797-0,722090300030,17501 BISCAYNE BLVD,4/11/2019,5256.59,105.13,720-00,327,1,Medical Office Building,sq. ft.
653,M2019008797-0,722090300030,17501 BISCAYNE BLVD,4/11/2019,5256.59,105.13,710-00,-327,1,General Office Building,sq. ft.
654,M2019008797-0,722090300030,17501 BISCAYNE BLVD,4/11/2019,5256.59,105.13,710-00,-327,1,"General Office Building [1-50,000]",sq. ft.
2189,M2019008675-0,722100010160,3180 NE 165 ST,3/7/2019,0,0,210-00,1,0,Single Family Detached,unit
2188,M2019008675-0,722100010160,3180 NE 165 ST,3/7/2019,0,0,210-00,-1,0,Single Family Detached,unit
2190,M2019004651-0,722150011850,16421 NE 30 AVE,7/1/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
2192,M2019015010-0,722170080155,1351 NE 158 ST,6/13/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
2191,M2019006893-0,722170082530,1345 NE 151 ST,2/6/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
3853,M2019006781-0,722170130850,1099 NE 164 ST,4/10/2019,0,0,520-00,0,0,Elementary School (30 SF/St),student
2193,M2019010377-0,722170182720,1484 NE 152 ST,4/2/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
2194,M2019010379-0,722170182730,15200 NE 14 CT,4/4/2019,8772.45,175.45,210-00,1,0,Single Family Detached,unit
1426,M2019012826-0,722180110010,850 N MIAMI BEACH BLVD,12/18/2019,108511.38,2170.22,853-00,2824,0,Convenience market with Gasoline,sq. ft.
3891,M2019012826-0,722180110010,850 N MIAMI BEACH BLVD,12/18/2019,108511.38,2170.22,820-04,-2824,0,"Shopping Center/General Retail [200,001-300,000]",sq. ft.
354,M2019003795-0,722210020290,13750 BISCAYNE BLVD,1/14/2019,12994.93,259.9,820-00,752,0,Shopping Center/General Retail,sq. ft.
355,M2019003795-0,722210020290,13750 BISCAYNE BLVD,1/14/2019,12994.93,259.9,820-00,752,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
2197,M2019019331-0,821210071760,951 SUPERIOR ST,8/20/2019,0,0,210-00,1,0,Single Family Detached,unit
1343,M2019019331-0,821210071760,951 SUPERIOR ST,8/20/2019,0,0,220-00,-1.42,0,Apartment (Rentals),unit
2195,M2019017801-0,821210071765,951 SUPERIOR ST,7/31/2019,4386.22,87.73,210-00,1,0,Single Family Detached,unit
2196,M2019017801-0,821210071765,951 SUPERIOR ST,7/31/2019,4386.22,87.73,210-00,-0.5,0,Single Family Detached,unit
1038,M2019016910-0,821220030790,14911 DUVAL STREET,7/26/2019,0,0,231-00,4,0,Duplex,unit
1039,M2019016910-0,821220030790,14911 DUVAL STREET,7/26/2019,0,0,231-00,-4,0,Duplex,unit
2198,M2019007250-0,821220050020,2290 SERVICE RD,2/12/2019,0,0,210-00,1,0,Single Family Detached,unit
2199,M2019007250-0,821220050020,2290 SERVICE RD,2/12/2019,0,0,210-00,-1,0,Single Family Detached,unit
3601,M2019020569-0,821220390490,1755 NW 143 TER,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
3595,M2019020568-0,821220390500,1751 NW 143 TER,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
3596,M2019020567-0,821220390510,1747 NW 143 TER,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
3597,M2019020566-0,821220390520,1743 NW 143 TER,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
3598,M2019020565-0,821220390530,1739 NW 143 TER,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
3594,M2019020577-0,821220390890,1895 NW 142 LN - BLDG. # 19,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
3599,M2019020576-0,821220390900,1891 NW 142 LN - BLDG. # 19,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
3602,M2019020574-0,821220390910,1887 NW 142 LN - BLDG. # 19,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
3600,M2019020573-0,821220390920,1883 NW 142 LN - BLDG. # 19,9/16/2019,5371.08,107.42,230-00,1,0,"Condominium,Townhouse",unit
99,M2019004010-0,821280040390,12890 ASWAN RD,1/3/2019,3126.67,62.53,150-00,680,0,Warehousing,sq. ft.
1427,M2019009564-0,821290190020,3860 NW 135 ST,3/26/2019,233864.65,4677.29,853-00,4200,0,Convenience market with Gasoline,sq. ft.
160,M2019011719-1,940250100010,5978 SW 64 ST,6/27/2019,60708.4,1214.16,820-00,8468,0,Shopping Center/General Retail,sq. ft.
161,M2019011719-1,940250100010,5978 SW 64 ST,6/27/2019,60708.4,1214.16,820-00,8468,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
557,M2019011719-1,940250100010,5978 SW 64 ST,6/27/2019,60708.4,1214.16,710-00,343,0,General Office Building,sq. ft.
558,M2019011719-1,940250100010,5978 SW 64 ST,6/27/2019,60708.4,1214.16,710-00,343,0,"General Office Building [1-50,000]",sq. ft.
1286,M2019011719-0,940250100010,5978 SW 64 ST,6/26/2019,0,2463.83,220-00,20,0,Apartment (Rentals),unit
158,M2019011719-0,940250100010,5978 SW 64 ST,6/26/2019,0,2463.83,820-00,0,0,Shopping Center/General Retail,sq. ft.
159,M2019011719-0,940250100010,5978 SW 64 ST,6/26/2019,0,2463.83,820-00,0,0,"Shopping Center/General Retail [1-10,000]",sq. ft.
1285,M2019011719-0,940250100010,5978 SW 64 ST,6/26/2019,0,2463.83,220-00,0,0,Apartment (Rentals),unit
1546,M2019011719-0,940250100010,5978 SW 64 ST,6/26/2019,0,2463.83,210-00,0,0,Single Family Detached,unit
1547,M2019011719-1,940250100010,5978 SW 64 ST,6/27/2019,60708.4,1214.16,210-00,-4,0,Single Family Detached,unit
1288,M2019011719-1,940250100010,5978 SW 64 ST,6/27/2019,60708.4,1214.16,220-00,-9,0,Apartment (Rentals),unit
1543,M2019008585-0,940250140150,5959 SW 60 ST,3/4/2019,0,0,210-00,1,0,Single Family Detached,unit
1542,M2019008585-0,940250140150,5959 SW 60 ST,3/4/2019,0,0,210-00,-1,0,Single Family Detached,unit
1545,M2019021405-0,940250200420,5885 SW 60 AVE,9/25/2019,0,0,210-00,1,0,Single Family Detached,unit
1544,M2019021405-0,940250200420,5885 SW 60 AVE,9/25/2019,0,0,210-00,-1,0,Single Family Detached,unit
830,C2019016251-0,940250760010,7025 SW 59 PL,11/27/2019,0,0,820-01,6118.01,0,"Shopping Center/General Retail [10,001 -50,000]",sq. ft.
